source_id,institution_id,institution_name,city,platform,url,current_status,decision,reason
4,3,STI Myanmar College,Mandalay,facebook,https://www.facebook.com/STIMyanmarUni,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
5,3,STI Myanmar College,Mandalay,instagram,https://www.instagram.com/sti.myanmar.college,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
6,3,STI Myanmar College,Mandalay,linkedin,https://www.linkedin.com/company/sti-myanmar-universtiy,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
8,47,STI Myanmar College,Yangon,facebook,https://www.facebook.com/STIMyanmarUni,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
12,54,STI Myanmar College,Yangon,facebook,https://www.facebook.com/STIMyanmarUni,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
13,54,STI Myanmar College,Yangon,instagram,https://www.instagram.com/sti.myanmar.college,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
14,54,STI Myanmar College,Yangon,linkedin,https://www.linkedin.com/company/sti-myanmar-universtiy,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
35,59,BIY College,Yangon,facebook,https://www.facebook.com/BusinessInstituteYangonBIY/,needs_review,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
44,66,Compu Tech ICT College,Yangon,facebook,https://www.facebook.com/computechictcollege/,needs_review,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
45,66,Compu Tech ICT College,Yangon,youtube,https://www.youtube.com/@COMPUTECHICTCollege,needs_review,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
106,15,AIM International College,Mandalay,facebook,https://web.facebook.com/AIMMdy,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
107,15,AIM International College,Mandalay,facebook,https://www.facebook.com/AIMMdy,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
108,71,ATBC International College,Yangon,facebook,https://www.facebook.com/atbcinternationalcollege2019,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
109,71,ATBC International College,Yangon,linkedin,https://www.linkedin.com/company/atbcschool,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
110,71,ATBC International College,Yangon,youtube,https://www.youtube.com/c/TNKnowledgeSharing/videos,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
111,10,AUSTON College,Mandalay,facebook,https://www.facebook.com/austoncollege,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
112,10,AUSTON College,Mandalay,instagram,https://www.instagram.com/auston_college_myanmar,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
114,10,AUSTON College,Mandalay,tiktok,https://www.tiktok.com/@auston_college,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
116,32,AUSTON College,Yangon,facebook,https://www.facebook.com/austoncollege,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
117,32,AUSTON College,Yangon,instagram,https://www.instagram.com/auston_college_myanmar,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
118,32,AUSTON College,Yangon,linkedin,https://mm.linkedin.com/company/auston-college-myanmar,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
119,32,AUSTON College,Yangon,tiktok,https://www.tiktok.com/@auston_college,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
120,32,AUSTON College,Yangon,youtube,https://www.youtube.com/@austoncollegemyanmar,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
121,74,British United College,Yangon,facebook,https://www.facebook.com/BritishUnitedCollege,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
122,74,British United College,Yangon,instagram,https://www.instagram.com/britishunitedcollege,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
123,74,British United College,Yangon,linkedin,https://www.linkedin.com/company/british-united-college,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
126,52,Chindwin Technological College,Yangon,facebook,https://www.facebook.com/share/1DrcPTbLvR,unverified,REJECT_CANDIDATE,generic host or share link does not identify an official public account
127,52,Chindwin Technological College,Yangon,tiktok,https://www.tiktok.com/@chindwin_ctc,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
128,1,မြန်မာ့စီးပွားရေးစီမံခန့်ခွဲမှုပညာကောလိပ်,Mandalay,facebook,https://www.facebook.com/MCMI.MyanmarCommercialUniversity,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
129,1,မြန်မာ့စီးပွားရေးစီမံခန့်ခွဲမှုပညာကောလိပ်,Mandalay,facebook,https://www.facebook.com/MyanmarCommercialUniversity,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
130,1,မြန်မာ့စီးပွားရေးစီမံခန့်ခွဲမှုပညာကောလိပ်,Mandalay,x,https://twitter.com/ZinKoKoMCMI,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
131,1,မြန်မာ့စီးပွားရေးစီမံခန့်ခွဲမှုပညာကောလိပ်,Mandalay,x,https://www.twitter.com,unverified,REJECT_CANDIDATE,generic host or share link does not identify an official public account
132,1,မြန်မာ့စီးပွားရေးစီမံခန့်ခွဲမှုပညာကောလိပ်,Mandalay,youtube,https://www.youtube.com/@myanmarcommercialmanagemen1053%20,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
133,1,မြန်မာ့စီးပွားရေးစီမံခန့်ခွဲမှုပညာကောလိပ်,Mandalay,youtube,https://youtube.com,unverified,REJECT_CANDIDATE,generic host or share link does not identify an official public account
137,4,STI Health Science College,Mandalay,facebook,https://www.facebook.com/STIMyanmarUni,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
138,4,STI Health Science College,Mandalay,instagram,https://www.instagram.com/sti.myanmar.college,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
139,4,STI Health Science College,Mandalay,linkedin,https://www.linkedin.com/company/sti-myanmar-universtiy,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
140,4,STI Health Science College,Mandalay,youtube,https://www.youtube.com/@stimyanmar_official,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
141,5,ချင်းတွင်းနည်းပညာ ကောလိပ်,Mandalay,facebook,https://www.facebook.com/share/1DrcPTbLvR,unverified,REJECT_CANDIDATE,generic host or share link does not identify an official public account
142,5,ချင်းတွင်းနည်းပညာ ကောလိပ်,Mandalay,tiktok,https://www.tiktok.com/@chindwin_ctc,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
143,6,Strategy First International College Mandalay,Mandalay,facebook,https://www.facebook.com/StrategyFirstInternationalCollege,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
144,6,Strategy First International College Mandalay,Mandalay,instagram,https://www.instagram.com/strategyfirst_sfic,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
145,6,Strategy First International College Mandalay,Mandalay,linkedin,https://www.linkedin.com/school/strategyfirstuniversity,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
146,6,Strategy First International College Mandalay,Mandalay,x,https://twitter.com/SFU_MM,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
148,7,NVL College,Mandalay,facebook,https://www.facebook.com/nvlinstitute,unverified,VERIFY_IDENTITY,"check account title, institution name, city, and link relationship against an official source"
149,7,NVL College,Mandalay,linkedin,https://www.linkedin.com,unverified,REJECT_CANDIDATE,generic host or share link does not identify an official public account
150,7,NVL College,Mandalay,x,https://www.twitter.com,unverified,REJECT_CANDIDATE,generic host or share link does not identify an official public account
